,SP,num,Seq,ILU,ILURes,SORC
0,-659.2999877239265,-659.3000008002116,-659.2999950482236,-659.300021588192,-659.3000026584187,-659.2999717326469
1,-659.3001663451076,-659.3002125848875,-659.3002053259672,-659.3002492443239,-659.3002095589675,-659.3001482819427
2,-659.3009155060951,-659.3010548923686,-659.301058635656,-659.3010933414844,-659.3010268362574,-659.3009362849301
3,-659.3026105839531,-659.3029423866236,-659.3029778664969,-659.3029595280061,-659.3028559502827,-659.3027377724048
4,-659.3056227241374,-659.3062849020326,-659.3063810364531,-659.306248768222,-659.3060937274438,-659.3059502061309
5,-659.3103188774618,-659.311487487051,-659.3116813375955,-659.3113573848206,-659.311132403997,-659.3109665196351
6,-659.3170618398365,-659.3189504560565,-659.3192871858472,-659.3186771071686,-659.3183596710898,-659.3181751640525
7,-659.3262102959067,-659.3290694407217,-659.3296022746996,-659.328595120397,-659.328158725461,-659.3279601536765
8,-659.33811886272,-659.3422354458804,-659.3430256297504,-659.3414941165172,-659.3409083219987,-659.3407011190675
9,-659.3531381384659,-659.3588349080865,-659.3599516696946,-659.3577523523971,-659.3569828285283,-659.3567733582438
10,-659.371614752325,-659.3792497575314,-659.3807702664828,-659.3777437070053,-659.3767522837536,-659.3765478934699
11,-659.393891416266,-659.4038574816211,-659.4058668121514,-659.4018377422396,-659.4005824575646,-659.4003915298149
12,-659.4203069805404,-659.4330311923201,-659.4356222858601,-659.4303997667321,-659.4288349133569,-659.4286669166553
13,-659.4511964888036,-659.4671396961528,-659.4704133247391,-659.4637909017762,-659.4618670750197,-659.4617326108242
14,-659.4868912381661,-659.5065475643773,-659.5106122961718,-659.5023681494698,-659.5000322929145,-659.4999431444708
15,-659.5277188394737,-659.5516152082381,-659.5565873758576,-659.5464844636078,-659.5436799138846,-659.5436490905842
16,-659.5740032794994,-659.6026989552838,-659.6087026227173,-659.596488822051,-659.5931553537102,-659.593197136316
17,-659.6260649860808,-659.660151128048,-659.6673180617148,-659.6527263021239,-659.6488001705728,-659.6489301537449
18,-659.6842208930053,-659.7243201235569,-659.7327897643895,-659.7155381566704,-659.7109521410081,-659.711187275493
19,-659.7487845096524,-659.795550496901,-659.8054699344945,-659.7852618934251,-659.7799453368131,-659.780303970481
20,-659.8200659889632,-659.8741830450568,-659.8857069936233,-659.8622313559894,-659.8561102054433,-659.8566121236627
21,-659.8983721985087,-659.9605548937384,-659.973845671051,-659.9467768036378,-659.9397736506513,-659.940440115217
22,-659.9840067934957,-660.0549995837971,-660.0702270931829,-660.0392249984185,-660.0312591158058,-660.0321129022519
23,-660.077270290533,-660.1578471626525,-660.1751888757211,-660.1398992888944,-660.1308866664351,-660.1319521033512
24,-660.1784601418982,-660.2694242733066,-660.2890652170136,-660.2491196974912,-660.2389730781636,-660.2402760825371
25,-660.2878708137257,-660.3900542480528,-660.4121869938392,-660.3672030089757,-660.3558319225157,-660.357400036962
26,-660.4057938619301,-660.5200572022143,-660.5448818580771,-660.4944628605996,-660.4817736549112,-660.4836360835103
27,-660.532518012446,-660.6597501289311,-660.6874743351697,-660.6312098328021,-660.6171057058629,-660.6192933495707
28,-660.6683292398218,-660.8094469962589,-660.8402859242289,-660.7777515418285,-660.7621325708176,-660.7646780629594
29,-660.8135108493713,-660.9694588448568,-661.0036351971604,-660.9343927334943,-660.9171559022056,-660.9200936433645
30,-660.9683435586284,-661.1400938862084,-661.1778379032343,-661.1014353776561,-661.0824746038375,-661.0858407967515
31,-661.1331055811838,-661.3216576026067,-661.3632070711939,-661.2791787641219,-661.2583849233533,-661.2622176074666
32,-661.3080727095609,-661.5144528488343,-661.560053113978,-661.4679195998058,-661.4451805486219,-661.4495196352209
33,-661.4935184004379,-661.7187799541001,-661.7686839353079,-661.667952105515,-661.643152703804,-661.6480400106291
34,-661.6897138608725,-661.9349368239527,-661.9894050354912,-661.8795681159867,-661.8525902456387,-661.858069532686
35,-661.8969281334969,-662.1632190447897,-662.2225196191499,-662.1030571778385,-662.0737797618816,-662.079896766359
36,-662.1154281848643,-662.4039199889068,-662.468328704162,-662.3387066512063,-662.3070056700735,-662.3138081421303
37,-662.3454789927844,-662.6573309190004,-662.7271312310868,-662.5868018108818,-662.552550316538,-662.5600880556236
38,-662.587343635264,-662.9237410938697,-662.9992241737226,-662.8476259472301,-662.8106940763854,-662.8190189682424
39,-662.841283378238,-663.2034378764051,-663.2849026503402,-663.1214604699269,-663.0817154554759,-663.0908815085164
40,-663.1075577675075,-663.4967068404958,-663.584460035493,-663.4085850100888,-663.3658911900137,-663.3759545743028
41,-663.386424717435,-663.8038318793326,-663.8981880714838,-663.7092775244513,-663.66349634959,-663.6745154349007
42,-663.6781406022595,-664.1250953140911,-664.2263769839269,-664.0238144006021,-663.9748044400224,-663.986839836032
43,-663.982960347994,-664.4607780029797,-664.5693155945828,-664.352470560678,-664.3000875058826,-664.3132021021911
44,-664.3011375236415,-664.8111594510059,-664.9272914356673,-664.69551956735,-664.6396162340534,-664.6538752417952
45,-664.6329244334995,-665.1765179200264,-665.3005908660103,-665.0532337309885,-664.9936600589297,-665.009131053231
46,-664.9785722104396,-665.5571305406694,-665.6894991855819,-665.4258842140378,-665.3624872652734,-665.3792402291175
47,-665.3383309083221,-665.9532734212281,-666.094300753254,-665.8137411387169,-665.7463650939922,-665.7644724640202
48,-665.7124495958307,-666.3652217614641,-666.5152791026077,-666.2170736952712,-666.1455598479616,-666.1650965593917
49,-666.1011764502208,-666.7932499633218,-666.9527170593324,-666.6361502480316,-666.5603369966581,-666.5813805322858
50,-666.5047588521082,-667.2376317441317,-667.4068968597091,-667.071238445001,-666.9909612833096,-667.0135917213739
51,-666.9234434786382,-667.6986402478198,-667.8781002684816,-667.5226053250553,-667.4376968310575,-667.4619968967793
52,-667.3574763997315,-668.1765481601411,-668.3666086970213,-667.9905174265294,-667.9008072489207,-667.9268623669072
53,-667.8071031721532,-668.6716278191631,-668.8727033234371,-668.4752408973458,-668.380555738924,-668.4084540878088
54,-668.2725689352832,-669.1841513315004,-669.3966652109223,-668.9770416035843,-668.8772052043262,-668.9070377719763
55,-668.7541185063892,-669.7143906844307,-669.9387754290324,-669.4961852390052,-669.3910183567526,-669.4228789985954
56,-669.2519964764567,-670.2626178612256,-670.4993151716685,-670.03293743445,-669.9222578235857,-669.9562433223072
57,-669.7664473065187,-670.8291049539921,-671.078565880267,-670.5875638690725,-670.4711862560844,-670.5073963838173
58,-670.2977154236432,-671.4141242798285,-671.6768093635861,-671.160330379314,-671.038066437049,-671.0766040205681
59,-670.8460453172464,-672.0179484948328,-672.2943279180358,-671.7515030702604,-671.6231613912696,-671.6641323768321
60,-671.4116816357441,-672.6408507093299,-672.9314044509041,-672.3613484255725,-672.2267344919646,-672.2702480150359
61,-671.9948692835061,-673.2831046029866,-673.5883226006017,-672.9901334192878,-672.8490495704739,-672.8952180270655
62,-672.5958535179731,-673.9449845397386,-674.2653668603876,-673.6381256258102,-673.490371025349,-673.5393101453154
63,-673.214880045286,-674.6267656849681,-674.9628226995709,-674.3055933316716,-674.1509639310782,-674.2027928560052
64,-673.8521951191208,-675.3287241183717,-675.6809766878991,-674.992805647742,-674.8310941483147,-674.885935509089
65,-674.5080456374787,-676.051136953776,-676.4201166167022,-675.7000326192275,-675.5310284322585,-675.5890084325708
66,-675.1826792404031,-676.7942824516749,-677.1805316234643,-676.4275453381641,-676.2510345426101,-676.312283043661
67,-675.8763444072225,-677.5584401365685,-677.9625123155997,-677.1756160550999,-676.9913813537205,-677.0560319620856
68,-676.589290553485,-678.3438909150522,-678.7663508933068,-677.944518291516,-677.7523389635716,-677.8205291224743
69,-677.3217681301644,-679.1509171890773,-679.5923412747475,-678.734526951122,-678.5341788055903,-678.6060498892738
70,-678.0740287208164,-679.9798029757972,-680.4407792198637,-679.5459184321876,-679.33717375606,-679.4128711689389
71,-678.8463251398764,-680.8308340215926,-681.3119624557933,-680.3789707408476,-680.1615982464021,-680.2412715237483
